experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
06_25 Bacillus turbido,P01,2025-06-25T17:33:13.687Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.839000+00:00.,,2025-06-25 19:33:13,8.009166666666667
06_25 Bacillus turbido,P01,2025-06-25T17:33:28.689Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.839000+00:00.,,2025-06-25 19:33:28,8.013333333333334
06_25 Bacillus turbido,P01,2025-06-25T17:33:43.686Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.839000+00:00.,,2025-06-25 19:33:43,8.0175
06_25 Bacillus turbido,P01,2025-06-25T20:57:57.221Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03507666444711574, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-25 22:57:57,11.421388888888888
06_25 Bacillus turbido,P01,2025-06-25T21:58:11.734Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03509693709307797, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-25 23:58:11,12.425277777777778
06_25 Bacillus turbido,P01,2025-06-25T23:03:26.736Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03505133688094747, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 01:03:26,13.512777777777778
06_25 Bacillus turbido,P01,2025-06-26T00:04:26.741Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.035089889811496154, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 02:04:26,14.529444444444444
06_25 Bacillus turbido,P01,2025-06-26T01:06:41.778Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03501376982266822, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 03:06:41,15.566944444444445
06_25 Bacillus turbido,P01,2025-06-26T02:07:56.737Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03502685133840471, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 04:07:56,16.587777777777777
06_25 Bacillus turbido,P01,2025-06-26T03:05:11.732Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03507125393968889, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 05:05:11,17.541944444444443
06_25 Bacillus turbido,P01,2025-06-26T04:00:26.737Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03527791529377286, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 06:00:26,18.462777777777777
06_25 Bacillus turbido,P01,2025-06-26T04:49:41.739Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03503730490385969, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 06:49:41,19.28361111111111
06_25 Bacillus turbido,P01,2025-06-26T05:42:56.725Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03510485565978981, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 07:42:56,20.17111111111111
06_25 Bacillus turbido,P01,2025-06-26T06:42:41.736Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.035025285403658915, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:42:41,21.166944444444443
06_25 Bacillus turbido,P01,2025-06-26T08:54:28.753Z,DilutionEvent,Latest OD = 0.05 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.047983967898152936, ""target_od"": 0.04, ""volume"": 6.0}",2025-06-26 10:54:28,23.363333333333333
06_25 Bacillus turbido,P01,2025-06-26T09:31:43.269Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04007566995451512, ""target_od"": 0.04, ""volume"": 6.0}",2025-06-26 11:31:43,23.984166666666667
06_25 Bacillus turbido,P01,2025-06-26T10:36:13.300Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04008111770639708, ""target_od"": 0.04, ""volume"": 6.0}",2025-06-26 12:36:13,25.059166666666666
06_25 Bacillus turbido,P01,2025-06-26T11:36:28.278Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.040042659136239174, ""target_od"": 0.04, ""volume"": 6.0}",2025-06-26 13:36:28,26.063333333333333
06_25 Bacillus turbido,P01,2025-06-26T12:38:43.364Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04009936104901686, ""target_od"": 0.04, ""volume"": 6.0}",2025-06-26 14:38:43,27.100833333333334
